Job Title,Company,Location,Date Posted,Date Extracted,Summary,Salary,Job URL
Co-op Student - Facility Engineer,AltaGas Ltd.,"Calgary, AB",20 days ago,2021-05-07,"Interface with internal resources to develop engineering deliverables.
AltaGas is seeking an enthusiastic, proactive and motivated engineering student for an 8…",Not Provided,https://ca.indeed.com//rc/clk?jk=b91edbd2ab9979bc&fccid=4dac2d2245794069&vjs=3
Co-op/Intern Product Management/Marketing Engineer,Renesas Electronics Canada Ltd.,"Ottawa, ON",28 days ago,2021-05-07,"Temporary full time (40 hours/week) Co-op/Intern position.
How to work with engineering team on trade-offs to achieve a realizable technical specification and…",Not Provided,https://ca.indeed.com//rc/clk?jk=fbe95450d66dd0d5&fccid=2736ebbc71c8340f&vjs=3
Clinical Specialist,Medtronic,Ontario,6 days ago,2021-05-07,"Associate degree with a mMinimum 4 years of work experience in the healthcare or engineering field.
High School Diploma or GED with minimum 6 years of work…",Not Provided,https://ca.indeed.com//rc/clk?jk=9b7f6097bff5e5c6&fccid=f06a4d05bf5510ec&vjs=3
Business Systems Analyst Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Lunch and Learns on topics such as Innovation.
Plan, manage, and support the delivery of detailed system requirements and technical/functional specifications in…",Not Provided,https://ca.indeed.com//rc/clk?jk=54a4156cd0567a3f&fccid=d7114f1cac8d0711&vjs=3
"Intern/Co-Op Integrated Mobility Solutions, Summer 2021",Wood Plc,"Burlington, ON",30+ days ago,2021-05-07,"Applicants must be eligible for the co-op program;
Excellent communication skills (written and spoken) with the ability to interact with a variety of levels in…",Not Provided,https://ca.indeed.com//rc/clk?jk=e47f69188b9f8876&fccid=022a1f0fd2bf3f85&vjs=3
Design for Test (DFT) Engineer Intern,Facebook,"Toronto, ON",12 days ago,2021-05-07,"Intent to return to degree-program after the completion of the internship/co-op.
Facebook Reality Labs focuses on delivering Facebook's vision through Augmented…",Not Provided,https://ca.indeed.com//rc/clk?jk=d00d1bd54ab9d3ff&fccid=1639254ea84748b5&vjs=3
"Analyst, Cyber Intelligence Centre - Fall 2021 Coop/Internship (Vaughan & Vancouver)",Deloitte,"Vaughan, ON",3 days ago,2021-05-07,"As a member of Cyber Intelligence Centre, you will interact with clients both locally and globally to assist with managing their cyber risk profile.",Not Provided,https://ca.indeed.com//rc/clk?jk=cc22bee4da2a6ffc&fccid=9e215d88a6b33622&vjs=3
"Project Designer, Co-Op",Aecon Group,"Toronto, ON",30+ days ago,2021-05-07,"Aecon Utility Engineering (AUE) a division focusing on engineering design and management, employing more than 100 engineers, technicians, project managers and…",Not Provided,https://ca.indeed.com//rc/clk?jk=9372c87ac5f68a9c&fccid=142c552fa53fee9b&vjs=3
Validation Engineering Specialist - Co-Op,Thermo Fisher Scientific,"Mississauga, ON",15 days ago,2021-05-07,"MUST be a Co-Op Student in a REGISTERED Co-Op Program.
Prepares Installation Qualification (IQ), Operational Qualification (OQ), Performance Qualification (PQ)…",Not Provided,https://ca.indeed.com//rc/clk?jk=20e4dcd2939a74b9&fccid=126e3afd205caa95&vjs=3
Data Engineering Intern,OANDA,"Toronto, ON",20 days ago,2021-05-07,"Have the chance to develop various ETL tools, for both batch and real time processing.
Discuss and design the complete life cycle of the flow of information…",Not Provided,https://ca.indeed.com//rc/clk?jk=19e06b8a38877e7c&fccid=ff9722884b0527dc&vjs=3
Python Applications Developer,Givex,"Toronto, ON",Just posted,2021-05-07,"B.S. in Computer Science / Co-op Software Engineering Stream / Mathematics.
You will work on new development projects and existing systems in a 24/7 transaction…",Not Provided,https://ca.indeed.com//rc/clk?jk=343e3dc95df97920&fccid=a86824e95be9d0db&vjs=3
"Network Analyst, Fall 2021 Student Opportunities",RBC,Ontario,3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, technology, or engineering.",Not Provided,https://ca.indeed.com//rc/clk?jk=667ee4ab875dcdfa&fccid=537b899e30af3338&vjs=3
Electrical Engineering Student - Fall 2021 - Pulp and Paper Division,Irving Pulp and Paper,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Electrical Engineering Students available for co-op work term and in good academic standing.
ELECTRICAL ENGINEERING CO-OP STUDENT.",Not Provided,https://ca.indeed.com//rc/clk?jk=83c6f368d34bcf00&fccid=b680520115bfd867&vjs=3
Design Technologist,Alectra Utilities,Canada,3 days ago,2021-05-07,"Communicates and provides technical support and guidance to municipalities, developers, contractors, electrical/civil consultants, architects, field supervisors…",Not Provided,https://ca.indeed.com//rc/clk?jk=d9775e0da36ca7e8&fccid=8c267f1031ff3f22&vjs=3
Construction Claims Internship/Co-op (4-8 months),JTE Claims Consultants,"Oakville, ON",30+ days ago,2021-05-07,"Previous co-op/summer work experience in the construction or engineering industry.
We are looking for a Construction Claims Intern/Co-op (4-8 months) to join…",Not Provided,https://ca.indeed.com//rc/clk?jk=d12f52c2a3e27a78&fccid=ed8be8c454593762&vjs=3
"Intern Ruby Developer, Remote, Fall 2021",Fullscript,"Ottawa, ON",1 day ago,2021-05-07,"Previous internship/co-op experience, ideally in a team environment within a software company.
This paid Software Engineering internship opportunity is open to…",Not Provided,https://ca.indeed.com//rc/clk?jk=58ff3775b08c9f95&fccid=2991caacecd50eb8&vjs=3
Product Engineering Co-Op,Morneau Shepell,"Markham, ON",30+ days ago,2021-05-07,"Our innovative programs have a lasting impact on the health, financial security and productivity of 24,000 workplaces.",Not Provided,https://ca.indeed.com//rc/clk?jk=2de5b5c69cf9162f&fccid=81e768fa404adc27&vjs=3
Process Digitalization Analyst,Siemens,"Oakville, ON",7 days ago,2021-05-07,"This role will be based out of Oakville and will be responsible for supporting our consultants to analyze, optimize and digitalize business processes.",Not Provided,https://ca.indeed.com//rc/clk?jk=665aaeb6f7a7cd45&fccid=3b89b9ec324f96c8&vjs=3
Co-op student - rail systems,Mott MacDonald,"Vancouver, BC",30+ days ago,2021-05-07,"To perform this role successfully, the engineering co-op student will be given opportunities and responsibilities that may include:",Not Provided,https://ca.indeed.com//rc/clk?jk=87b41a5f00a16a94&fccid=edb4bf50a19b70a9&vjs=3
Fall Co op/Intern: Instrumentation Automation Developer,Ciena,"Ottawa, ON",10 days ago,2021-05-07,Help develop instrumentation interfacing classes to all of our critical laboratory equipment to allow full experiment control and automation.,Not Provided,https://ca.indeed.com//rc/clk?jk=7f5fda441042286f&fccid=144a39be55e8440b&vjs=3
Junior Transportation Design Technologist,ISL Engineering and Land Services,British Columbia,1 day ago,2021-05-07,"Previous relevant work experience (summer student or co-op).
Provide engineering design solutions to address project issues and constraints to achieve client…",Not Provided,https://ca.indeed.com//rc/clk?jk=9f89426a78c20fc0&fccid=f9d0d97bb8173467&vjs=3
"Quality Assurance Analyst, Fall 2021 Student Opportunities",RBC,"Toronto, ON",3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, technology, or engineering.",Not Provided,https://ca.indeed.com//rc/clk?jk=d9e99dcf16aa323a&fccid=537b899e30af3338&vjs=3
Fall Co op/Intern,Ciena,"Ottawa, ON",10 days ago,2021-05-07,"Further education or experience in engineering, computer science or another technical related field.
Use intermediate technical engineering knowledge and…",Not Provided,https://ca.indeed.com//rc/clk?jk=3d9e0ecbe6c64691&fccid=144a39be55e8440b&vjs=3
Reliability Engineering Maximo Data Admin - Co-Op,Thermo Fisher Scientific,"Whitby, ON",12 days ago,2021-05-07,"Supports reliability engineering management in RCM methodologies.
A thorough knowledge of engineering documentation for facilities and production equipment.",Not Provided,https://ca.indeed.com//rc/clk?jk=2a36fb3c7d5dd1b9&fccid=126e3afd205caa95&vjs=3
"Manufacturing Engineering Analyst, West Stamping",Toyota Motor Manufacturing Canada,"Woodstock, ON",30+ days ago,2021-05-07,"Multi-disciplinary experience in process or equipment engineering.
Weekend Work / Shutdown coordination / Co-op student management.",Not Provided,https://ca.indeed.com//rc/clk?jk=6ead7bb272d41dce&fccid=37cade37452dc973&vjs=3
Intern - Responsible Investing (4 month contract),Ontario Teachers' Pension Plan,"Toronto, ON",2 days ago,2021-05-07,"You must be enrolled in a co-op program or returning back to your studies after the work term is completed.
The ideal candidate will be working towards a degree…",Not Provided,https://ca.indeed.com//rc/clk?jk=31c852d4c812e697&fccid=17bf781939cc1c3e&vjs=3
"Analyst, Actuarial Services - Fall Internship/Coop 2021 - Ontario",Deloitte,"Kitchener, ON",3 days ago,2021-05-07,You will build innovative solutions to advance the actuarial field in addition to developing a deep knowledge of actuarial technical concepts and understanding…,Not Provided,https://ca.indeed.com//rc/clk?jk=cb153d4c2c4c0751&fccid=9e215d88a6b33622&vjs=3
Software and Database Engineer Co-Op,Skyworks,"Ottawa, ON",29 days ago,2021-05-07,"Support engineering activities related with data processing such as Compliance Matrix generations, Data Sheet Limits Calculation, Product Scorecard population.",Not Provided,https://ca.indeed.com//rc/clk?jk=069cdfc18200a402&fccid=dd65ff8c995d54b5&vjs=3
Project Scheduler,Leonardo DRS,"Ottawa, ON",30+ days ago,2021-05-07,"Minimum of three years relevant experience in a project based environment focused on manufacturing and engineering.
Flexible and ability to adapt to change.",Not Provided,https://ca.indeed.com//rc/clk?jk=3f463237c395954b&fccid=4730d395dbdb7f3d&vjs=3
"Analyst Intern, Capital Projects, Financial Advisory - Fall 2021 (National)",Deloitte,"Montréal, QC",3 days ago,2021-05-07,"Learn from deep subject matter experts through mentoring and on-the-job coaching.
Assisting in project management oversight assessments;",Not Provided,https://ca.indeed.com//rc/clk?jk=a17610e6c3d30d90&fccid=9e215d88a6b33622&vjs=3
"Developer, HANA and Analytics (Infrastructure)",SAP,"Vancouver, BC",4 days ago,2021-05-07,"1-3 years of relevant work experience developing web applications (can include internship or co-op experience).
Work Area: Software-Design and Development.",Not Provided,https://ca.indeed.com//rc/clk?jk=705bdb50f6cf1065&fccid=156c7820d1988640&vjs=3
Junior Civil Engineering Technologist,ISL Engineering and Land Services,"Lethbridge, AB",20 days ago,2021-05-07,"Previous work experience (summer student or co-op).
Graduate of an accredited Civil Technologist program.
Survey and/or materials testing experience.",Not Provided,https://ca.indeed.com//rc/clk?jk=cbfbef567969053b&fccid=f9d0d97bb8173467&vjs=3
"Product Management Support - US, Co-op Term",MacDon Industries Ltd.,"Winnipeg, MB",30+ days ago,2021-05-07,"This term position in the Product Management Support role, will assist with the execution of the various demo programs.
Ability to travel to the U.S.",Not Provided,https://ca.indeed.com//rc/clk?jk=ea8d2d4a2af0a234&fccid=bef467135efd0a6c&vjs=3
Mechanical Engineer (3rd year +),NAPCO,"Abbotsford, BC",2 days ago,2021-05-07,This position targets engineering students who wish to further develop a career interacting with plant operating personnel.,Not Provided,https://ca.indeed.com//rc/clk?jk=6c3d71d3d34d2af1&fccid=7fccb8388c653d63&vjs=3
Software Engineer (Magento),Bolt,"Toronto, ON",Just posted,2021-05-07,"Relevant industry experience (internships/Co-op if new grad).
With our help, retailers can successfully compete with the online retail giants that have the…",Not Provided,https://ca.indeed.com//rc/clk?jk=ea7526449a8fecb8&fccid=2472edbe03e34796&vjs=3
"Développeur logiciel, Opportunités étudiantes automne 2021 (Montréal)",RBC,"Montréal, QC",3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, engineering, or technology.",Not Provided,https://ca.indeed.com//rc/clk?jk=b1427a970a50df54&fccid=537b899e30af3338&vjs=3
Senior Applications Engineering - Packaging,ATS Automation Tooling Systems Inc.,"Cambridge, ON",7 days ago,2021-05-07,"Previous co-op work term experience to complement school projects and assignments is ideal.
A post-secondary diploma or degree in mechanical/systems/electrical…",Not Provided,https://ca.indeed.com//rc/clk?jk=56b520e4ae3815fd&fccid=c24b48f7054267a0&vjs=3
Design for Test (DFT) Engineer Intern,Facebook,"Toronto, ON",12 days ago,2021-05-07,"Intent to return to degree-program after the completion of the internship/co-op.
Facebook Reality Labs focuses on delivering Facebook's vision through Augmented…",Not Provided,https://ca.indeed.com//rc/clk?jk=d00d1bd54ab9d3ff&fccid=1639254ea84748b5&vjs=3
Engineer In Training (EIT),Streamline Inspection Ltd.,"Fort Saskatchewan, AB",30+ days ago,2021-05-07,Minimum of 2 years’ experience in the engineering field; includes work under universities co-op student programs and existing experience as an E.I.T.,Not Provided,https://ca.indeed.com//rc/clk?jk=769d0668b1cfc40a&fccid=07b38110247f7e16&vjs=3
Operator,Lucknow District Co-op,"Lucknow, ON",30+ days ago,2021-05-07,"Under the direction of the Location Manager, delivers products, communicates sales leads, custom applies fertilizers, crop protection products or aglime,…",Not Provided,https://ca.indeed.com//rc/clk?jk=de9b97d7f14f5167&fccid=34309936373ab363&vjs=3
Sales and Operations Development Program,Berg Chilling Systems,"Toronto, ON",30+ days ago,2021-05-07,"University co-op experience will be considered.
Learn Berg’s engineering process from purchase order to shipping.
Participate in meetings as required.",Not Provided,https://ca.indeed.com//rc/clk?jk=0f3ef868822ac371&fccid=d38777e3e354d35b&vjs=3
Technical Sales Support - LMT,ATS Automation Tooling Systems Inc.,"Cambridge, ON",9 days ago,2021-05-07,"Previous co-op work term experience to complement school projects and assignments is ideal.
A post-secondary diploma or degree in mechanical/systems/electrical…",Not Provided,https://ca.indeed.com//rc/clk?jk=c7a6b2b69b7c75c4&fccid=c24b48f7054267a0&vjs=3
"Analyst Intern, Capital Projects, Financial Advisory - Fall 2021 (National)",Deloitte,"Montréal, QC",3 days ago,2021-05-07,"Learn from deep subject matter experts through mentoring and on-the-job coaching.
Assisting in project management oversight assessments;",Not Provided,https://ca.indeed.com//rc/clk?jk=a17610e6c3d30d90&fccid=9e215d88a6b33622&vjs=3
Summer Student - Manufacturing,INVISTA,"Kingston, ON",30+ days ago,2021-05-07,"Students enrolled in Engineering or related co-op (4 month) programs.
Students enrolled in a manufacturing related discipline (e.g. engineering, instrumentation…",$16.25 an hour,https://ca.indeed.com//rc/clk?jk=daff99e1a13f1e72&fccid=c2c8eec5b544d9b1&vjs=3
"Manager, Operations",University of Toronto,"Toronto, ON",6 days ago,2021-05-07,"Solid understanding of co-operative education.
Faculty/Division: Faculty of Applied Science & Engineering.
The Manager must be strategic in the allocation of…","$80,259 - $133,765 a year",https://ca.indeed.com//rc/clk?jk=52d1f0fe34c74972&fccid=986361104086c3ae&vjs=3
"Analyst, Cyber Intelligence Centre - Fall 2021 Coop/Internship (Vaughan & Vancouver)",Deloitte,"Vaughan, ON",3 days ago,2021-05-07,"As a member of Cyber Intelligence Centre, you will interact with clients both locally and globally to assist with managing their cyber risk profile.",Not Provided,https://ca.indeed.com//rc/clk?jk=cc22bee4da2a6ffc&fccid=9e215d88a6b33622&vjs=3
"Consultant, Machinery & Equipment Valuations",KPMG,"Toronto, ON",6 days ago,2021-05-07,Minimum of 2 years of relevant experience (including any co-op placements or internships) working in an analytical role and/or client serving environment.,Not Provided,https://ca.indeed.com//rc/clk?jk=e6e393f09f9b90b2&fccid=2dd390c3a48a7ed0&vjs=3
IP Tech Expertise Center - Lab Specialist,NI Network Infrastructure,"Ottawa, ON",1 day ago,2021-05-07,"1-2 years of experience working in a lab or co-op programs.
NI will respond to the ever-increasing demand for networks with higher capacity, greater reliability…",Not Provided,https://ca.indeed.com//rc/clk?jk=7537486cdecadd9d&fccid=484b97f92f5d004d&vjs=3
Project Scheduler,Leonardo DRS,"Ottawa, ON",30+ days ago,2021-05-07,"Minimum of three years relevant experience in a project based environment focused on manufacturing and engineering.
Flexible and ability to adapt to change.",Not Provided,https://ca.indeed.com//rc/clk?jk=3f463237c395954b&fccid=4730d395dbdb7f3d&vjs=3
Junior Technician,SLR Consulting,"Yellowknife, NT",30+ days ago,2021-05-07,Experience in contaminated site assessment and remediation programs preferred (previous co-op or internship experience will be considered).,Not Provided,https://ca.indeed.com//rc/clk?jk=0d0c264e0f47c6e7&fccid=549bbce028d52285&vjs=3
Technical Recruiter,SnapTravel,"Toronto, ON",16 days ago,2021-05-07,"Proven experience of growing an internal engineering team Working Experience using Lever, Greenhouse, or Jazz as an ATS system.",Not Provided,https://ca.indeed.com//rc/clk?jk=c87661324a565a95&fccid=960d8f54f5a1520f&vjs=3
Summer Student - Manufacturing,INVISTA,"Kingston, ON",30+ days ago,2021-05-07,"Students enrolled in Engineering or related co-op (4 month) programs.
Students enrolled in a manufacturing related discipline (e.g. engineering, instrumentation…",$16.25 an hour,https://ca.indeed.com//rc/clk?jk=daff99e1a13f1e72&fccid=c2c8eec5b544d9b1&vjs=3
Network Software Developer,Curtiss-Wright,"Ottawa, ON",30+ days ago,2021-05-07,"Knowledge of software engineering processes and standards.
Design, develop, and test new embedded software to implement Layer 2 and Layer 3 network protocols.",Not Provided,https://ca.indeed.com//rc/clk?jk=4bbae787f109b78e&fccid=8203bf77b6d24450&vjs=3
Manufacturing & Engineering - 8 months Co-op (Evergreen) (Open),Procter & Gamble,"Belleville, ON",6 days ago,2021-05-07,"Preference is given to those individuals with at least 3 years completed in Electrical, Chemical, Physics or Mechanical engineering programs at an accredited…",Not Provided,https://ca.indeed.com//rc/clk?jk=b3ff96f0a0a6bb21&fccid=2da0dedf6df97194&vjs=3
"Business Systems Analyst, Fall 2021 Student Opportunities",RBC,"Toronto, ON",3 days ago,2021-05-07,"Analyze business requirement documents to identify, track, and resolve business system issues and software requirements.
Net) and HP Quality Centre.",Not Provided,https://ca.indeed.com//rc/clk?jk=8db23626496269c2&fccid=537b899e30af3338&vjs=3
"Analyst, Marketing Analytics TORONTO, ONMARKETING",Tonal,"Toronto, ON",21 days ago,2021-05-07,"1+ years as a hands-on data analyst or co-op/internship in the field of data or marketing, with a background in mathematics, computer science, data science,…",Not Provided,https://ca.indeed.com//rc/clk?jk=4e895ad091534cec&fccid=0376130dee20ed0f&vjs=3
Transportation Designer,LEA Consulting Ltd.,"Markham, ON",10 days ago,2021-05-07,"Engineering interns or Co-op terms with the same/similar responsibilities are counted towards experience.
Registered Engineer-in-Training (EIT), and working…",Not Provided,https://ca.indeed.com//rc/clk?jk=97454638d9343b33&fccid=c2d35e7dba1a87bc&vjs=3
Lead Software Engineer (Remote),Collage.com,Alberta,30+ days ago,2021-05-07,"Collage.com's mission is to make custom products easy for everyone, by creating fantastic software and providing excellent customer service.",Not Provided,https://ca.indeed.com//rc/clk?jk=adbf54d4860dfebd&fccid=9394f82f784b291a&vjs=3
Geostructural Designer,Atlantic Industries Limited,"Ayr, ON",24 days ago,2021-05-07,"Coach co-op students and designers.
Their duties will also include the ongoing support and coaching of co-op students and designers.",Not Provided,https://ca.indeed.com//rc/clk?jk=614d9a2fe7b84595&fccid=edc875b08c2bbed0&vjs=3
"Director, Outreach & Engagement",McMaster University,"Hamilton, ON",Just posted,2021-05-07,"Knowledge of research-based effective practices in engineering education and community outreach.
The Director provides leadership in the areas of alumni &…",Not Provided,https://ca.indeed.com//rc/clk?jk=37962d50b3b149bf&fccid=3623ed8ea4c76fba&vjs=3
Engineer In Training (EIT),Streamline Inspection Ltd.,"Fort Saskatchewan, AB",30+ days ago,2021-05-07,Minimum of 2 years’ experience in the engineering field; includes work under universities co-op student programs and existing experience as an E.I.T.,Not Provided,https://ca.indeed.com//rc/clk?jk=769d0668b1cfc40a&fccid=07b38110247f7e16&vjs=3
Senior Software Developer,Oracle,"Kitchener, ON",8 days ago,2021-05-07,"Mentor more junior members of the team and co-op students.
4 years of software engineering or related experience.
Experiance as a Scrum Master is an asset.",Not Provided,https://ca.indeed.com//rc/clk?jk=b27aaf7cd4032f01&fccid=cd22d01053af7669&vjs=3
Test Technician (6-months),Leonardo DRS,"Ottawa, ON",30+ days ago,2021-05-07,"We offer a competitive compensation package and a business culture which rewards performance.
DRS Technologies Canada Ltd. (DRS Canada), is a leading mid-tier…",Not Provided,https://ca.indeed.com//rc/clk?jk=adad1e7548ea8562&fccid=4730d395dbdb7f3d&vjs=3
"Technical Systems or Business Analyst (12-16 Months), Fall 2021 PEY Opportunities",RBC,"Toronto, ON",3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, engineering, or technology.
Ability to hand-code all components.",Not Provided,https://ca.indeed.com//rc/clk?jk=caaa89cf550d772e&fccid=537b899e30af3338&vjs=3
Junior Technician,SLR Consulting,"Yellowknife, NT",30+ days ago,2021-05-07,Experience in contaminated site assessment and remediation programs preferred (previous co-op or internship experience will be considered).,Not Provided,https://ca.indeed.com//rc/clk?jk=0d0c264e0f47c6e7&fccid=549bbce028d52285&vjs=3
Sales Coordinator,Brandt,"Regina, SK",30+ days ago,2021-05-07,"Assisting with the Co-op Advertising Program.
Responsible for championing the bid submission process including communication from the sales team to the…",Not Provided,https://ca.indeed.com//rc/clk?jk=a7857a4e3ade7487&fccid=a3cadf55c2eb1a08&vjs=3
"Analyst, Marketing Analytics TORONTO, ONMARKETING",Tonal,"Toronto, ON",21 days ago,2021-05-07,"1+ years as a hands-on data analyst or co-op/internship in the field of data or marketing, with a background in mathematics, computer science, data science,…",Not Provided,https://ca.indeed.com//rc/clk?jk=4e895ad091534cec&fccid=0376130dee20ed0f&vjs=3
Transportation Designer,LEA Consulting Ltd.,"Markham, ON",10 days ago,2021-05-07,"Engineering interns or Co-op terms with the same/similar responsibilities are counted towards experience.
Registered Engineer-in-Training (EIT), and working…",Not Provided,https://ca.indeed.com//rc/clk?jk=97454638d9343b33&fccid=c2d35e7dba1a87bc&vjs=3
Technical Recruiter,SnapTravel,"Toronto, ON",16 days ago,2021-05-07,"Proven experience of growing an internal engineering team Working Experience using Lever, Greenhouse, or Jazz as an ATS system.",Not Provided,https://ca.indeed.com//rc/clk?jk=c87661324a565a95&fccid=960d8f54f5a1520f&vjs=3
"Security Analyst, Fall 2021 Student Opportunities",RBC,Ontario,3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, technology, or engineering.",Not Provided,https://ca.indeed.com//rc/clk?jk=5d16d35366a22f5c&fccid=537b899e30af3338&vjs=3
"Intern –Total Fund Insights & Analytics, Risk (12 month contract)",Ontario Teachers' Pension Plan,"Toronto, ON",2 days ago,2021-05-07,The Total Fund Insights & Analytics team within the Risk team is responsible for producing portfolio insights for senior management of the fund as well as to…,Not Provided,https://ca.indeed.com//rc/clk?jk=08bdd6268f758cf2&fccid=17bf781939cc1c3e&vjs=3
Project Coordinator,Turner Construction Company,"Toronto, ON",30+ days ago,2021-05-07,Qualifications: Four-year college degree with formal engineering or architectural training or equivalent building construction experience and summer internship…,Not Provided,https://ca.indeed.com//rc/clk?jk=878f62af15f20722&fccid=1f9a6328e6e785f3&vjs=3
Software Engineer - Tools,"Amazon Web Services Canada, In","Vancouver, BC",Today,2021-05-07,"BS in Computer Science or related field or equivalent experience.
3-5 years of full-time industry experience.
Demonstrated ability coding at the system level in…",Not Provided,https://ca.indeed.com//rc/clk?jk=e8c200b14fa6de61&fccid=fe2d21eef233e94a&vjs=3
Software Engineer - SFCC/Demandware,Bolt,"Toronto, ON",30+ days ago,2021-05-07,"Relevant industry experience (internships/Co-op if new grad).
Take ownership of your own projects while pairing with mentors.",Not Provided,https://ca.indeed.com//rc/clk?jk=8820850201227eea&fccid=2472edbe03e34796&vjs=3
Communications and Outreach Officer,University of Waterloo,"Waterloo, ON",30+ days ago,2021-05-07,"Supports efforts to improve students’ co-op employment opportunities.
Working understanding of content areas in the fields of systems and/or biomedical…",Not Provided,https://ca.indeed.com//rc/clk?jk=55abaeab0bf89a73&fccid=5bcffa6277080afe&vjs=3
HR and TA Coordinator,University of British Columbia,"Vancouver, BC",14 days ago,2021-05-07,"Coordinates the hiring of Graduate Academic Assistants, Undergraduate Academic Assistants and Co-op students under the discretion and approval of their research…","$4,137 - $4,456 a month",https://ca.indeed.com//rc/clk?jk=415d6feaebf508e7&fccid=462e6068c17c7702&vjs=3
Configuration and Data Management Specialist,Leonardo DRS,"Ottawa, ON",10 days ago,2021-05-07,Possession a degree or certificate in an engineering or related activity from a recognized post-secondary institution or equivalent experience;,Not Provided,https://ca.indeed.com//rc/clk?jk=8fca21e02c735e1c&fccid=4730d395dbdb7f3d&vjs=3
"Network Automation Engineer Intern, Infrastructure Data Center | Ingénieur/ingénieure stagiaire, Automatisation des réseaux, Centre de données en infrastructures",Facebook,"Vancouver, BC",30+ days ago,2021-05-07,Intent to return to degree-program after the completion of the internship/co-op | Intention de retourner au programme d’études après l’achèvement du stage ou du…,Not Provided,https://ca.indeed.com//rc/clk?jk=0d8651ff807f59a7&fccid=1639254ea84748b5&vjs=3
Quality Assurance & Environmental Manager,Federated Co-operatives Limited,"Belle Plaine, SK",3 days ago,2021-05-07,"Ensure that the Co-op Ethanol Complex is operated in compliance with the environmental regulations.
You will be responsible to initiate, plan, and develop…",Not Provided,https://ca.indeed.com//rc/clk?jk=98335cb421ba1e2a&fccid=3eb196da8551a906&vjs=3
Project Coordinator (New Graduate),Turner Construction Company,"Vancouver, BC",30+ days ago,2021-05-07,Qualifications: Four-year college degree with formal engineering or architectural training or equivalent building construction experience and summer internship…,Not Provided,https://ca.indeed.com//rc/clk?jk=c1da112250dfab45&fccid=1f9a6328e6e785f3&vjs=3
Motor Vehicle Mechanic (W1510),City of London,"London, ON",3 days ago,2021-05-07,"Responsible for a wide range of mechanical service, inspection and repair activities to municipal vehicles and equipment to a level of competency expected of a…",$34.78 - $38.66 an hour,https://ca.indeed.com//rc/clk?jk=fa13be178fa80b92&fccid=43370a8bd9896442&vjs=3
Structural Designer/Inspector Co-op,Morrison Hershfield,"Vancouver, BC",30+ days ago,2021-05-07,"Upon a successful completion of the upcoming co-op term, this will also guarantee a similar co-op opportunity with MH for Summer 2022 (May – August 2022).",Not Provided,https://ca.indeed.com//rc/clk?jk=0c0a337758604230&fccid=35ee7b79d7e0d0e3&vjs=3
Python Applications Developer,Givex,"Toronto, ON",Just posted,2021-05-07,"B.S. in Computer Science / Co-op Software Engineering Stream / Mathematics.
You will work on new development projects and existing systems in a 24/7 transaction…",Not Provided,https://ca.indeed.com//rc/clk?jk=343e3dc95df97920&fccid=a86824e95be9d0db&vjs=3
"Quality Assurance Analyst, Fall 2021 Student Opportunities",RBC,"Toronto, ON",3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, technology, or engineering.",Not Provided,https://ca.indeed.com//rc/clk?jk=d9e99dcf16aa323a&fccid=537b899e30af3338&vjs=3
Digital and Payments - Cross Platform Foundations Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Lunch and Learns on topics such as Innovation.
The Cross Platform Foundations team is responsible for delivering customer-facing mobile apps for the Canadian…",Not Provided,https://ca.indeed.com//rc/clk?jk=abf21eff42634cfd&fccid=d7114f1cac8d0711&vjs=3
Payments Innovation Developer Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Lunch and Learns on topics such as Innovation.
Our team is focused on payments strategy, market POCs and FinTech investment due diligence.",Not Provided,https://ca.indeed.com//rc/clk?jk=f1902f1facb10772&fccid=d7114f1cac8d0711&vjs=3
GAME DESIGNER,New World Interactive,"Quebec City, QC",30+ days ago,2021-05-07,"Experience working on multiplayer co-op games.
Bachelor's degree in game design, computer science, or computer engineering.
2+ years gaming industry experience.",Not Provided,https://ca.indeed.com//rc/clk?jk=55e17ab1f3c7aec3&fccid=4fe56cb472fa1127&vjs=3
Senior Mechanical Designer (Clearpath Robotics),Clearpath Inc.,"Waterloo, ON",1 day ago,2021-05-07,"Mentoring junior staff, technicians and co-op students.
Performing ground-up design work supported by engineering fundamentals, analysis and testing.",Not Provided,https://ca.indeed.com//rc/clk?jk=43e06b78ab6037d8&fccid=270d80b299cde949&vjs=3
Process Digitalization Analyst,Siemens,"Oakville, ON",7 days ago,2021-05-07,"This role will be based out of Oakville and will be responsible for supporting our consultants to analyze, optimize and digitalize business processes.",Not Provided,https://ca.indeed.com//rc/clk?jk=665aaeb6f7a7cd45&fccid=3b89b9ec324f96c8&vjs=3
